Variable,oMEDA,Abs_oMEDA
3150,-1.270935,1.270935
3151,0.02043108,0.02043108
3152,0.3148126,0.3148126
3153,1.38396,1.38396
3154,-0.002381911,0.002381911
3155,2.371916,2.371916
3156,2.899096e-06,2.899096e-06
3157,-2.806461,2.806461
3158,-0.1450308,0.1450308
3159,0.9251792,0.9251792
3160,0.04041921,0.04041921
3161,0.1212966,0.1212966
3162,-0.02319389,0.02319389
3163,0.5505999,0.5505999
3164,-0.2694525,0.2694525
3165,0.1399668,0.1399668
3166,-0.345312,0.345312
3167,1.856185,1.856185
3168,-0.4995518,0.4995518
3169,1.523689,1.523689
3170,-0.06568132,0.06568132
3171,1.558546,1.558546
3172,-0.0007220841,0.0007220841
3173,0.5572925,0.5572925
3174,1.063476,1.063476
3175,6.167118,6.167118
3176,-0.9437251,0.9437251
3177,-0.5694916,0.5694916
3178,0.05557228,0.05557228
3179,-0.0227936,0.0227936
3180,0.2857412,0.2857412
3181,-0.9158923,0.9158923
3182,8.61035,8.61035
3183,17.84433,17.84433
3184,-1.101302,1.101302
3185,-5.643964,5.643964
3186,0.02482128,0.02482128
3187,2.087285,2.087285
3188,1.148617,1.148617
3189,1.15717,1.15717
3190,0.5140738,0.5140738
3191,-10.24068,10.24068
3192,0.005562056,0.005562056
3193,12.9689,12.9689
3194,0.2857969,0.2857969
3195,-0.001531778,0.001531778
