Variable,Layer,Head,TokenOrigenIdx,TokenDestinoIdx,TokenOrigen,TokenDestino,Efecto_ASCA,Importancia_ASCA
331,1,6,2,3,Token 2,Token 3,0.253296486943268,0.641591102978012
332,1,6,2,4,Token 2,Token 4,-0.0456468756069647,0.0208363725267771
333,1,6,2,5,Token 2,Token 5,0.000171097821402984,2.92744644888473e-07
334,1,6,2,6,Token 2,Token 6,-0.0577874413697715,0.0333938838006478
335,1,6,2,7,Token 2,.,0.00849817748677584,0.000722190205967436
336,1,6,2,8,Token 2,[SEP],-0.111256428034941,0.12377992779094
337,1,6,3,1,Token 3,[CLS],0.0040228581197126,0.000161833874513376
338,1,6,3,2,Token 3,Token 2,-0.0451840635115219,0.0204159959541325
339,1,6,3,3,Token 3,Token 3,0.0822348999808011,0.0676257877485235
340,1,6,3,4,Token 3,Token 4,-0.042115820022048,0.0177374229612953
341,1,6,3,5,Token 3,Token 5,0.0655562588426528,0.042976230734449
342,1,6,3,6,Token 3,Token 6,0.00819493634836982,0.00067156981753833
343,1,6,3,7,Token 3,.,0.0108173667395656,0.0011701542317826
344,1,6,3,8,Token 3,[SEP],-0.174566848433379,0.304735845719621
345,1,6,4,1,Token 4,[CLS],0.00648526104983587,0.000420586108845183
346,1,6,4,2,Token 4,Token 2,0.00393655208961003,0.000154964423542131
347,1,6,4,3,Token 4,Token 3,-0.134540423515714,0.181011255597877
348,1,6,4,4,Token 4,Token 4,-0.0197787137253634,0.00391197516629877
349,1,6,4,5,Token 4,Token 5,0.155841070904042,0.242864393805186
350,1,6,4,6,Token 4,Token 6,-0.0523159334260105,0.0273695689023476
351,1,6,4,7,Token 4,.,0.0381070430518348,0.0145214673015439
352,1,6,4,8,Token 4,[SEP],0.0464053769112277,0.0215345900627311
353,1,6,5,1,Token 5,[CLS],-0.320131042939453,1.02483884653502
354,1,6,5,2,Token 5,Token 2,-0.0453929969546652,0.0206052417252624
355,1,6,5,3,Token 5,Token 3,0.40817132272213,1.66603828692734
