Method,Token,MeanImportancePct,MaxImportancePct,Count
PLS-DA,story,12.7589122742194,14.5312231098762,4
PLS-DA,strong,11.2527974458018,11.2527974458018,1
PLS-DA,the,11.380396675659,13.2423806410045,24
PLS-DA,this,14.340334557432,16.8281320095058,14
PLS-DA,throughout,13.5079633474715,13.9486764606157,4
PLS-DA,today,14.1157341425997,15.1575538677741,4
PLS-DA,truly,11.976404127452,12.3501556813233,2
PLS-DA,unpleasant,13.7650940194042,13.7650940194042,1
PLS-DA,very,10.0251103016279,10.9826747378633,10
PLS-DA,warm,16.6926707445068,18.0115903918044,2
PLS-DA,was,11.8768828476789,16.2928448580526,14
PLS-DA,weak,11.9076239554894,11.9076239554894,1
PLS-DA,well,13.7774755771224,13.7774755771224,1
PLS-DA,wooden,11.8962176471642,11.8962176471642,1
PLS-DA,worked,17.0591211739445,17.9019956790337,2
ASCA,a,9.24699956421684,9.32297201161544,2
ASCA,acting,12.0921381290324,12.2661266637518,2
ASCA,annoying,15.8041007995814,15.8041007995814,1
ASCA,awful,16.5271924931122,16.5271924931122,1
ASCA,bad,20.8663034951055,20.8663034951055,1
ASCA,beautiful,16.4878105709432,16.4878105709432,1
ASCA,boring,14.5568755884783,14.5568755884783,1
ASCA,cast,10.1247965420116,10.2536961681988,2
ASCA,charming,14.716161870332,14.716161870332,1
ASCA,cheap,16.5499087775175,16.5499087775175,1
ASCA,completely,7.84826028934744,7.88230900414888,2
ASCA,deeply,9.03375339122658,9.19486129685017,2
ASCA,dialogue,8.62761681992657,8.69826362321676,2
ASCA,disliked,22.0957377887101,22.0957377887101,1
ASCA,dreadful,19.1708458994276,19.1708458994276,1
ASCA,dull,16.7303450777027,16.7303450777027,1
ASCA,dumb,20.9820208434854,20.9820208434854,1
ASCA,empty,16.7481556496136,16.7481556496136,1
ASCA,ending,9.99066822731318,10.0488063019038,2
ASCA,enjoyable,13.5683343359129,13.5683343359129,1
ASCA,enjoyed,22.6263959677733,22.6263959677733,1
ASCA,felt,14.6037771218744,16.5244407903075,10
ASCA,film,7.90700442327782,8.13863996533887,6
ASCA,final,6.95641012171135,6.98511128802294,2
ASCA,flat,21.4130454104738,21.4130454104738,1
ASCA,found,14.1223178441433,14.7019601575001,4
ASCA,fresh,22.8590312446438,22.8590312446438,1
ASCA,gave,11.2118345528995,11.2539651802049,2
ASCA,good,20.6629373246232,20.6629373246232,1
ASCA,hated,22.1124013650554,22.8386255589916,2
ASCA,i,13.197714342281,15.800864107478,10
ASCA,it,14.1943042842603,14.2224053576044,2
ASCA,liked,21.5140960486078,21.5140960486078,1
ASCA,looked,15.7927426488895,16.0496122248449,2
ASCA,loved,23.6926358092003,23.6926358092003,1
ASCA,lovely,19.2509021872478,19.2509021872478,1
ASCA,movie,8.48720872608842,9.38612750095204,10
ASCA,moving,16.9623031142093,16.9623031142093,1
ASCA,natural,16.0615259268018,16.0615259268018,1
ASCA,nice,17.2223550054639,17.2223550054639,1
ASCA,overall,8.63225392870599,8.6639192213608,2
ASCA,pacing,8.39965683380186,8.84551380126896,2
ASCA,painful,13.7325252211551,13.7325252211551,1
ASCA,performances,9.69469537235684,9.93698685513569,2
ASCA,pleasant,16.2606960152066,16.2606960152066,1
ASCA,plot,9.41630211916198,9.5838703685908,2
ASCA,poor,20.189401193688,20.189401193688,1
ASCA,poorly,17.0535101086099,17.0535101086099,1
ASCA,quite,8.18276315857012,8.30096455324671,4
ASCA,really,10.4608733963549,10.5759440030767,2
ASCA,satisfying,16.1310775344036,16.1310775344036,1
ASCA,scene,7.15105548025218,7.23301371011476,2
ASCA,script,9.28650508634422,9.36903051093766,2
ASCA,sharp,20.9837532104957,20.9837532104957,1
ASCA,smart,22.887495338747,22.887495338747,1
ASCA,soundtrack,12.0278787128851,12.0773793884778,2
ASCA,stale,22.1281296536678,22.1281296536678,1
ASCA,story,11.9366798657658,12.7381167812513,4
ASCA,strong,20.7495800429596,20.7495800429596,1
ASCA,the,11.0917460722684,12.9468720713204,24
ASCA,this,13.1358656376503,16.3691473631386,14
ASCA,throughout,8.56606229735371,9.63564885134182,4
ASCA,today,9.17210116263372,9.9722473205558,4
ASCA,truly,10.319045862222,10.4330708623078,2
ASCA,unpleasant,16.5228450121513,16.5228450121513,1
ASCA,very,8.39676181764375,9.60167345981825,10
ASCA,warm,18.9940705169364,21.3136559854053,2
ASCA,was,11.5076887727752,12.7076170182613,14
ASCA,weak,22.2899689226359,22.2899689226359,1
ASCA,well,17.0300945939448,17.0300945939448,1
ASCA,wooden,16.4134338940274,16.4134338940274,1
ASCA,worked,16.6519030921151,17.1079955314287,2
